GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EvalPro,com.medianet.evalpro.Entity,Validation.Status,15,0,0,0,2,0,1,0,1,0
EvalPro,com.medianet.evalpro.Entity,Dossier,17,0,4,0,5,0,3,0,1,0
EvalPro,com.medianet.evalpro.Entity,User,20,0,0,0,6,0,6,0,6,0
EvalPro,com.medianet.evalpro.Entity,Question.QuestionType,51,0,0,0,2,0,1,0,1,0
EvalPro,com.medianet.evalpro.Entity,Dossier.Status,21,0,0,0,2,0,1,0,1,0
EvalPro,com.medianet.evalpro.Entity,User.Role,15,0,0,0,2,0,1,0,1,0
EvalPro,com.medianet.evalpro.Mapper,QuestionMapper,47,0,0,0,17,0,3,0,3,0
EvalPro,com.medianet.evalpro.Mapper,ResponseMapper,25,0,2,0,7,0,3,0,2,0
EvalPro,com.medianet.evalpro.Dto,FormProgressDTO,12,0,0,0,5,0,1,0,1,0
EvalPro,com.medianet.evalpro.Controller,OptionController,93,0,0,0,21,0,7,0,7,0
EvalPro,com.medianet.evalpro.Controller,ResponseController,216,0,8,0,47,0,15,0,11,0
EvalPro,com.medianet.evalpro.Controller,StepController,93,0,0,0,21,0,7,0,7,0
EvalPro,com.medianet.evalpro.Controller,FormController,108,0,0,0,24,0,9,0,9,0
EvalPro,com.medianet.evalpro.Controller,QuestionController,93,0,0,0,21,0,7,0,7,0
EvalPro,com.medianet.evalpro.Controller,AuthController,172,0,12,0,38,0,11,0,5,0
EvalPro,com.medianet.evalpro.Controller,DossierController,147,0,0,0,30,0,8,0,8,0
EvalPro,com.medianet.evalpro.Controller,UserController,111,0,2,0,24,0,8,0,7,0
EvalPro,com.medianet.evalpro.Controller,AuthenticatedUserController.new Object() {...},16,0,0,0,2,0,1,0,1,0
EvalPro,com.medianet.evalpro.Controller,AuthenticatedUserController,29,0,4,0,6,0,3,0,1,0
EvalPro,com.medianet.evalpro.Controller,ValidationController,87,0,0,0,20,0,6,0,6,0
EvalPro,com.medianet.evalpro.Service.Auth,CustomUserDetailsService,33,0,0,0,7,0,2,0,2,0
EvalPro,com.medianet.evalpro,EvalProApplication,8,0,0,0,3,0,2,0,2,0
EvalPro,com.medianet.evalpro.Util,JwtUtil,80,0,2,0,33,0,6,0,5,0
EvalPro,com.medianet.evalpro.Service,UserServiceImpl,98,0,8,0,22,0,12,0,8,0
EvalPro,com.medianet.evalpro.Service,FormServiceImpl,406,0,26,0,85,0,31,0,18,0
EvalPro,com.medianet.evalpro.Service,StepServiceImpl,78,0,4,0,17,0,10,0,8,0
EvalPro,com.medianet.evalpro.Service,ValidationServiceImpl,73,0,4,0,16,0,9,0,7,0
EvalPro,com.medianet.evalpro.Service,ResponseServiceImpl,688,0,80,0,146,0,58,0,18,0
EvalPro,com.medianet.evalpro.Service,OptionServiceImpl,78,0,4,0,17,0,10,0,8,0
EvalPro,com.medianet.evalpro.Service,DossierServiceImpl,327,0,18,0,73,0,27,0,18,0
EvalPro,com.medianet.evalpro.Service,AuthServiceImpl,137,0,8,0,27,0,7,0,3,0
EvalPro,com.medianet.evalpro.Service,QuestionServiceImpl,78,0,4,0,17,0,10,0,8,0
EvalPro,com.medianet.evalpro.Service,MailService,33,0,0,0,11,0,1,0,1,0
EvalPro,com.medianet.evalpro.Configurations,JwtAuthenticationFilter,104,0,10,0,29,0,8,0,3,0
EvalPro,com.medianet.evalpro.Configurations,SecurityConfig,163,0,0,0,28,0,8,0,8,0
